Industry,Country,$ Raised (mm),Stage,year,will_layoff
19,63,56.0,0,2025,0
24,27,1200.0,1,2025,1
28,24,1300.0,10,2025,1
8,63,1100.0,1,2025,0
10,24,44.0,5,2025,1
28,7,402.0,1,2025,1
7,56,734.0,2,2025,1
0,63,445.0,7,2025,0
28,63,780.0,1,2025,0
20,63,110.0,1,2025,0
19,24,1700.0,13,2025,1
13,63,17.0,4,2025,1
0,27,28.0,4,2025,1
24,63,8100.0,1,2025,1
20,63,1.0,1,2025,1
6,63,227.0,1,2025,1
3,63,0.0,1,2025,1
26,63,1200.0,1,2025,1
5,7,1100.0,1,2025,1
20,24,3.0,3,2025,1
7,7,370.0,15,2025,0
26,27,322.0,15,2025,1
17,24,32.0,5,2025,0
20,62,0.0,15,2025,1
8,63,109.0,0,2025,0
5,63,0.0,1,2025,1
3,63,2.0,1,2025,1
7,63,583.0,1,2025,0
29,63,3300.0,1,2025,0
20,63,238.0,15,2025,0
12,63,0.0,15,2025,0
28,24,1300.0,10,2025,1
0,63,1100.0,7,2025,1
3,63,26000.0,1,2025,1
12,63,12.0,1,2025,1
8,24,125.0,7,2025,1
28,63,467.0,8,2025,1
18,63,1600.0,1,2025,1
3,63,3.0,3,2025,1
20,24,484.0,9,2025,1
29,63,839.0,1,2025,0
16,63,593.0,7,2025,1
3,63,26.0,1,2025,0
18,63,99.0,1,2025,0
14,27,0.0,3,2025,0
25,27,8.0,3,2025,0
27,63,862.0,1,2025,1
22,62,0.0,15,2025,0
20,63,986.0,8,2025,1
3,1,2500.0,15,2025,1
5,1,0.0,3,2025,0
7,55,13800.0,15,2025,1
6,63,426.0,1,2025,0
5,63,3000.0,1,2025,1
8,63,150.0,1,2025,1
20,63,770.0,7,2025,1
5,63,47.0,5,2025,1
18,63,145.0,0,2025,1
18,63,0.0,1,2025,1
10,63,367.0,1,2025,1
26,27,0.0,0,2025,1
26,63,100.0,5,2025,1
0,27,48.0,5,2025,1
28,62,629.0,1,2025,0
16,63,50.0,0,2025,0
24,19,1700.0,1,2025,1
12,63,1400.0,1,2025,1
3,63,0.0,0,2025,1
18,63,16.0,1,2025,1
28,24,1700.0,1,2025,1
3,63,294.0,9,2025,0
24,24,2.0,0,2025,0
12,63,0.0,1,2025,1
10,63,284.0,0,2025,1
20,63,0.0,1,2025,1
20,63,105.0,1,2025,1
3,63,26.0,1,2025,0
8,63,263.0,8,2025,1
24,27,1200.0,1,2025,1
24,19,119.0,6,2025,0
11,63,40.0,1,2025,0
29,63,3300.0,1,2025,0
26,63,335.0,2,2025,1
13,63,28.0,4,2025,0
24,63,93.0,1,2025,1
3,29,0.0,1,2025,0
27,63,85.0,0,2025,1
7,27,8.0,15,2025,0
3,63,400.0,8,2025,1
10,39,43.0,4,2025,1
24,63,229.0,1,2025,0
0,62,37.0,4,2025,1
1,27,140.0,0,2025,0
1,63,167.0,15,2025,1
16,39,64.0,15,2025,1
26,63,125.0,0,2025,0
22,63,320.0,1,2025,1
8,62,700.0,8,2025,1
28,63,403.0,7,2025,0
20,63,1300.0,1,2025,0
3,63,26000.0,1,2025,1
8,63,300.0,1,2025,1
11,63,160.0,15,2025,1
20,37,1100.0,6,2025,1
27,63,429.0,1,2025,1
26,27,18.0,5,2025,0
11,63,230.0,1,2025,1
18,63,394.0,1,2025,1
3,63,455.0,1,2025,1
17,7,151.0,15,2025,1
0,27,57.0,5,2025,1
0,63,395.0,7,2025,1
28,63,15000.0,0,2025,1
26,63,1200.0,1,2025,1
5,63,293.0,15,2025,1
20,63,453.0,1,2025,1
29,63,3.0,1,2025,1
12,63,12.0,1,2025,1
25,63,65.0,1,2025,1
8,63,123.0,6,2025,1
8,63,20.0,4,2025,0
5,63,267.0,15,2025,1
24,63,8100.0,1,2025,0
24,63,50.0,2,2025,1
3,27,425.0,15,2025,0
8,63,8700.0,12,2025,1
21,7,7.0,3,2025,0
27,45,91.0,6,2025,1
24,19,205.0,6,2025,1
19,24,212.0,7,2025,1
7,63,523.0,7,2025,1
23,19,62.0,5,2025,1
18,63,1600.0,1,2025,1
18,24,222.0,7,2025,1
23,63,42.0,15,2025,1
8,63,31.0,15,2025,0
20,63,1.0,1,2025,0
19,63,0.0,0,2025,0
8,63,7.0,3,2025,0
24,55,56.0,1,2025,0
24,19,1700.0,1,2025,1
16,63,76.0,5,2025,1
22,63,97.0,1,2025,0
2,63,451.0,5,2025,1
22,63,320.0,1,2025,1
8,63,449.0,8,2025,1
26,63,325.0,8,2025,0
20,63,0.0,15,2025,0
20,63,1.0,1,2025,0
7,27,155.0,1,2025,1
8,63,27.0,5,2025,0
20,24,484.0,9,2024,1
13,63,43.0,5,2024,0
10,18,7.0,0,2024,0
8,7,109.0,6,2024,1
1,19,1400.0,1,2024,1
12,27,0.0,15,2024,0
13,63,42.0,5,2024,0
19,63,134.0,0,2024,0
10,24,0.0,4,2024,0
5,55,17.0,1,2024,0
3,63,6.0,0,2024,0
4,63,0.0,14,2024,1
20,63,351.0,5,2024,1
28,63,300.0,1,2024,1
24,63,381.0,15,2024,0
20,63,238.0,15,2024,0
8,27,769.0,15,2024,1
18,19,11.0,5,2024,0
22,63,440.0,7,2024,0
24,51,375.0,15,2024,1
20,63,2.0,3,2024,0
4,63,1100.0,2,2024,1
19,63,307.0,9,2024,0
8,63,480.0,15,2024,1
29,63,2800.0,1,2024,1
6,63,426.0,1,2024,0
18,27,60.0,8,2024,1
24,7,1200.0,1,2024,1
16,39,85.0,5,2024,1
8,24,35.0,15,2024,1
7,27,155.0,1,2024,1
20,63,1400.0,9,2024,1
18,63,111.0,1,2024,0
28,24,1700.0,1,2024,1
18,19,256.0,0,2024,1
29,7,730.0,15,2024,0
23,63,154.0,0,2024,1
13,63,216.0,15,2024,0
5,63,507.0,0,2024,0
8,62,321.0,8,2024,1
20,14,0.0,15,2024,1
19,24,71.0,6,2024,1
12,63,0.0,1,2024,1
18,63,1600.0,1,2024,1
6,63,227.0,1,2024,1
13,63,325.0,8,2024,1
13,63,910.0,9,2024,1
14,63,214.0,0,2024,0
6,24,0.0,3,2024,0
7,63,116.0,1,2024,1
13,63,1100.0,1,2024,1
13,63,450.0,15,2024,1
20,63,214.0,15,2024,1
24,63,224.0,1,2024,0
29,63,0.0,0,2024,0
1,63,4.0,3,2024,0
27,63,484.0,1,2024,1
10,37,129.0,0,2024,1
22,63,1900.0,1,2024,1
26,63,35.0,1,2024,1
20,63,0.0,0,2024,1
11,19,724.0,8,2024,1
3,63,30.0,1,2024,1
25,63,489.0,10,2024,1
20,63,700.0,1,2024,0
3,63,2.0,14,2024,0
21,27,35.0,0,2024,1
20,27,102.0,5,2024,1
13,63,417.0,9,2024,1
10,63,626.0,15,2024,0
3,63,0.0,0,2024,0
20,63,1700.0,1,2024,1
4,63,134.0,15,2024,1
20,63,476.0,6,2024,1
4,63,726.0,7,2024,1
26,63,0.0,1,2024,1
14,63,436.0,6,2024,0
4,63,87.0,6,2024,0
6,63,458.0,1,2024,1
28,63,548.0,15,2024,0
7,63,844.0,15,2024,0
12,40,0.0,15,2024,0
18,34,0.0,15,2024,1
20,63,168.0,1,2024,0
26,63,49.0,0,2024,1
19,18,22.0,6,2024,1
11,63,140.0,5,2024,0
8,63,0.0,15,2024,0
3,63,26000.0,1,2024,0
5,63,23.0,0,2024,1
18,63,1600.0,1,2024,1
21,63,19.0,4,2024,0
3,25,9400.0,15,2024,1
28,63,3300.0,1,2024,1
25,24,17.0,4,2024,0
23,63,0.0,0,2024,1
24,63,8.0,3,2024,0
23,63,0.0,15,2024,0
10,63,94.0,15,2024,0
24,24,19.0,4,2024,1
10,62,300.0,5,2024,0
3,63,202.0,7,2024,1
18,63,63.0,1,2024,1
20,63,82.0,1,2024,0
18,63,1600.0,1,2024,1
25,63,75.0,5,2024,1
13,63,220.0,7,2024,0
16,63,2400.0,8,2024,0
5,12,6.0,15,2024,1
8,7,331.0,15,2024,1
10,39,43.0,4,2024,1
18,63,99.0,1,2024,1
24,51,4100.0,2,2024,1
14,59,0.0,15,2024,0
10,24,1.0,3,2024,0
26,63,328.0,6,2024,1
8,63,77.0,5,2024,1
16,63,92.0,2,2024,1
26,63,0.0,1,2024,0
7,55,13800.0,15,2024,1
10,63,184.0,1,2024,0
13,63,185.0,7,2024,1
24,63,47.0,0,2024,1
28,63,780.0,1,2024,0
13,63,0.0,5,2024,0
28,26,0.0,0,2024,1
6,7,483.0,7,2024,0
8,18,0.0,6,2024,1
6,24,0.0,0,2024,1
12,63,0.0,1,2024,0
9,2,0.0,0,2024,1
20,63,1.0,1,2024,1
